Tweet,Sentimen
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Dah terang benderang arah &amp; tujuan,negatif
Pemerintah dan DPR Komitmen RUU TPKS Berkeadilan Bagi Korban https://t.co/8lGMN6Xp8Y,Positif
@cleo_mochy @niko_kos96 @yunartowijaya Ga kebalik bro?....emang MPR DPR  bisa apa kalo LBP mau,negatif
"@RiuRizkiUtomo_ @PBIDI IDI merasa lembaga superior seperti MUI tidak tersentuh, cuman lupa IDI superior karena ada UU, Dr.TAP membuka pandora bahwa penyelewengan kekuasaan bisa terjadi pada badan yg monopolis, saatnya DPR merubah UU supaya lebih baik, terutama untuk kepentingan masyarakat",negatif
@detikcom Ketimbang buat korden dan aspal ...toh masih bisa dipakai dan dilalui...mending uangnya buat beli minyak goreng.     Bagikan buat rakyat ..dpt nama  deh DPR ...,negatif
@tanyakanrl cocok buat gorden DPR ini mah 🙃,negatif
Pemerintah dan DPR Upayakan RUU TPKS Implementatif Berkeadilan Pada Korban https://t.co/6mX9s92mU2,Positif
Pemerintah dan DPR Komitmen RUU TPKS Berkeadilan Bagi Korban https://t.co/8lGMN6FfUQ,Positif
"@ardinsyafrudin @cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Iya ...

Yg ane khawatirkan dulu akhirnya terjadi juga",negatif
"Pimpin @DPR_RI  di @IPUparliament  Bali, Peluang @puanmaharani_ri  Jadi Corong Indonesia https://t.co/R5PM4IfoqC",negatif
DPR maksa aing buat ngekost atau gimana?,negatif
semoga m-banking bapak ibuk DPR keblokir terus 😌,negatif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI pengkhianatan keji oleh tubuhnua sendiri,negatif
"@HambaAllah_411 @cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Coba kisanak simak dengan teliti, dengan jelas,. arah nya memang memberikan jalan bagi keturunan pki untuk menjadi anggota TNI,..",negatif
"@detikcom Setuju banget, tumben DPR bagus nih usulannya.

By the way kasihan juga sama mitra² kerja yang biasa jadi ""calo halus"" di polresta/polrestabes, mereka bakal pensiun kalo beneran perpanjangan gratisssss.  😅🤣",negatif
"@NataliusPigai2 DPR .??
NGACO LU....🤣🤣",negatif
@nontinin @ferdy_bo @PartaiSocmed Selagi belum ada amandemen uud45 dan perubahan UU tentang pemilihan umum maka 3 priode dan pengunduran pemilu TDK akan terlaksana. Namun Rakyat telah menyerahkan Kedaulatannya KPD DPR. Bila DPR mengamandemen UUD45 dan UU pemilu rakyat mau bilang apa.,negatif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Ane posting ini jadi salah pemahaman 😥😥😥,negatif
DPR Minta Rehabilitasi Diberikan Tanpa Syarat ke Pengguna Narkoba https://t.co/mLr5iMKT2b,negatif
"DPR Harap G20 Anti-Corruption Lahirkan Langkah Konkret Pencegahan Korupsi

 #Sindonews #BukanBeritaBiasa .https://t.co/M1BTvKVGdR",Positif
"Masalah penundaan pemilu dan 3 periode Jokowi yang disalahkan. Padahal suara itu kan berasal dari DPR yang isinya orang partai. Kenapa gak kritik parpol yang menggaungkan hal itu???
#Jokowi2Periode #jokowi3periode",negatif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Selengkapnya https://t.co/OzbT7JRQg4,negatif
@Lausala10 @__Sridiana_3va Ya iyalah 2 priode di Kantin DPR RI  😜🇮🇩😜,Positif
"@schzeyannbuf gak semua sama ( cowok )
kalau semua sama 
aku juga sama kayak presiden
anggota dpr
crazy rich 
tetangga mu yang baik 
dokter
insinyur 
yutuber
pak haji 

bapak mu ...",negatif
@XIXdgmbkXIX @djalil_sofyan @atr_bpn Pak @jokowi udah pecat aja ini bawahan Bapak. Spt nya ini ada yg NGAK BERES. Sadis bgt sampe intervensi. Aneh!!! @officialMKRI @Humas_MA @KPK_RI @firlibahuri @MahkamahAgung @mohmahfudmd @DPR_RI @puanmaharani_ri @GATRA_com,negatif
Ternyata mudah jadi ketua dpr cuma nangis di dpn rakyat saat bbm naik .. https://t.co/fH8VpqEdVk,negatif
"Anggota Komisi III DPR Fraksi Gerindra, Habiburokhman, meminta Komisi Pemberantasan Korupsi (KPK) mengusut adanya mafia minyak goreng. Habiburokhman juga meminta pelakunya dituntut hukuman mati. https://t.co/P1E9aTBApT",Positif
"@detikcom Usul beda tipis dengan usil, dpr dipercaya...😂",negatif
ya Allah bisa ga sih gw dijadikan DPR RI biar dpt beli gorden harga 80 jt,negatif
"@Yorkeous @knpiharis Anggota DPR, DPD bahkan pengamat pun ikut bicara soal 3 periode. Menurut lu itu langgar UUD..??  Goblok lu kebangetan. Gue ngomong 3 periode juga langgar UUD..?? Bodoh akut lu. Paham.  😂😂😂",negatif
kirimin aku menfess jga dongg iri ak liat yg dpr menfess😩😩,negatif
Ngobrol perkara iman dg Gus Fawaid  Gus Hilmi mengenalkan Dakwah ala manhajin Nubuwwah sama Anggota DPR JATIM https://t.co/W1gC3BHt9Q,Positif
"@detikcom Lha wong saya aja gak bs merasakan ""kehadiran"" ibu dan teman2 di DPR untuk keluhan2 ekonomi masyarakat, kmaren migor langka bahkan sekarang harganya naik, ibu  dan teman2 di DPR ngapain? Ngukur baju lebaran kah?",negatif
@nksthi Gak ada yang mau naik ke gedung dpr lagi ?,negatif
"Waktu minyak dunia naik om lagi bobok ya?? Ayoo ngaku..
Bantah Setujui Harga Pertamax Naik Rp 16.000, Komisi VI DPR: Cuma Dukung Harga BBM Sesuai Minyak Dunia https://t.co/AMkP9FQMpT",negatif
"@AmbisUCL @thegreatcr7x @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Ngeliat pakai dua mata jangan sebelah doang. Intinya begitulah IDI, bahkan RSUD juga begitu. https://t.co/0wIPzsosRX",negatif
Tumben DPR bener...,negatif
"@segopecels @killthedj @jokowi Hal ini penting untuk tau dimana penyakitnya, dan dpr tidak punya lagi alasan jelas mengapa harus amandemen uud masa jabatan presiden. Rakyat pasti mendukung",negatif
@tubirfess DPR tuh kupingnya budek semua. Ga bakal denger suara rakyat,negatif
td sm mas gojek tbtb ditanya “sampean orang tuanya dpr ta mbak” ????? 😭😭😭😭,negatif
@kochengfess DPR nya para babu,negatif
@6undul0h Terserah lo nyet yg milih kann bukan rakyat tapi dpr ... semoga menjadi amal keburukan untuk semua yg mendukung,negatif
DPR KONTOL.,negatif
"@AndRohim @IwanSetyobudi9 @JanuariAlex @HmfaqihA @jokowi Masya allah,makasih loh bpak sudah memuji saya, jelaskan sma saya bagaimana cara nya HTI bisa merubah negara menjadi Khilafah?? Kan yg bisa merubah itu semua hanya DPR loh pak. Skrg DPR aja malah sibuk menyetujui harga BBM naik loh pak. Bpak tau itu gk??",negatif
@liputan6dotcom Kapan DPR minta persetujuan gua? Gua rakyat kalian cuma perwakilan woy,negatif
"@liputan6dotcom gaji dpr coba ganti umr biar tau rasa, gaada otak nya",negatif
@KompasTV jalan satu satu nya kepung istana dan dpr turun kan dia,negatif
"@Otniel_Gaol @thegreatcr7x @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Ini kesalahan paling fatal. Padahal uji pada hewan adalah tahap pertama sebelum ke manusia dan gak bisa dilangkahi. Banyak penelitian sel dendritik itu untuk terapi kanker dan imun, bukan vaksin. https://t.co/nf8I3IVwfL",negatif
#TolakPenundaanPemilu2024 @KPU_ID @jokowi @DPR_RI - Tandatangani Petisi! https://t.co/EFJ7ecMbIJ lewat @ChangeOrg_ID,negatif
Kebangun gara-gara mimpi buruk  bayar pajak mahal cuma buat ngganti gorden DPR 48M,negatif
"@jokowi ambigu sih ini, tidak tegas 2 periode selesai.
jika nanti tiba2 para anggota DPR MPR yang isinya koalisi mereka sahkan tambah 3 periode berarti jadi barang itu.
clue nya TAAT KONSTITUSI",negatif
@AmbisUCL @thegreatcr7x @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Ngeles2 molo kek yg di kendarain dp lo wkwkwk...,negatif
"@dah_ribet_amat @arupha_00 @shiningmoon98_ @Getitrights @tanyakanrl Di kantor dpr ada gak sii bayar iuran kayak uang kas gitu? Kan lumayan nnti kalau ada sisa buat beli tinta spidol, penghapus",negatif
"Russian and DPR flags raised in Kalchik, Donetsk #Ukraine #UkraineWar https://t.co/aW51LtVw0p",Positif
Langkah Bupati Kotim ke DPR RI Terobosan untuk Dukung Pembangunan https://t.co/TDbdSlV8JK,Positif
"@AzzamIzzulhaq Aneh, DPR dan Polri tidak bertindak memberikan sanksi.. suasana seperti dulu zaman RIS, tidak ada masalah dibuat masalah meruncing menyangkut konstitusi.. pantesan Mahfud mendahului mengatakan pemilu 2024 akan panas.. mereka berniat ciptakan suasana tidak kondusif..",negatif
"@Otniel_Gaol @AmbisUCL @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI tebang pilih apanya? vaksin2 lain baik asing dan dalam negeri semuanya diberi kesempatan dan semua patuh kaidah uji klinis, cuma AIVITA yang suka bikin ribut dan banyak itervensi politiknya,terutama dari para anggota DPR. dan aneh bener hal kyk gini dibahas di forum DPR🤣",negatif
"@PartaiSocmed Wah, kebetulan mayoritas dpd dan dpr dari partai koalisi, kapan lage ini. Pasti pikirnya begitu",negatif
@Candraasmara85 ternyata pengecut juga mangkir di panghil dpr,negatif
"Ketua Fraksi PKB di DPR RI Cucun Ahmad Syamsurijal menekankan, kebangkitan ekonomi pasca pandemi Covid-19 perlu kerja ekstra, terutama bagaimana penguatan PDB Indonesia. 

https://t.co/BJ58jKHfff",Positif
"@RamliRizal Kok ke a hok ya ? ❤
Bukan ke dpr fokusnyeeee",negatif
"Komisi XI DPR RI menggelar rapat pelantikan pergantian Ketua Komisi XI dari Dito Ganinduto ke Kahar Muzakir.

https://t.co/Gq1Vd8ucPo",Positif
@MrsRachelIn pertinyiinyiii... dpr bisa apa.. brani gak bubarkan ormas idi bersama pemerintah.. #tikussudahmenguasailumbung,negatif
Anggota Komisi V DPR RI Minta Kemenhub Rumuskan Aturan Teknis Mudik Lebaran 2022 https://t.co/4fv4DAitaY,Positif
"@RiuRizkiUtomo_ Gaspol pak, bersama DPR segera buat RUU nya disahkan. Sudah muak dengan ormas kelakuan preman. Apalagi yg sudah disusupi kadrun.",negatif
@bebetterplss Dpr kont*** kesel aku sorry ya kasar. Bygin ekonomi lg dlm pemulihan eh mlh dijaddin lahan bisnis apa2 naik anj,Positif
Jadi pengen ngebunuh dpr yang korup https://t.co/OuUX4mIoGh,negatif
@AREAJULID setahuku yg usul naikin dpr bukan pemerintah...,negatif
@Pwr36 @MaulanaPrayitno @tempodotco Bgmna dgn Usulan RUU HIP DPR_RI yg Mau Menghapus TAP MPRS Nomor XXV/MPRS/1966..???,Positif
"Kota dengan Intoleransi Tertinggi se-Indonesia 
CC
@pemkotdepok 
@Pemprov_Sulsel 
@HumasPoldaAceh 
@DPR_Aceh 
@humasbna 
@DiskominfoPKU 
@PemprovSumbar 
@POL_PDG_PANJANG 
@986topfm 
@InfoPadang_ 
@beacukaiSabang_ 
@humasreslangsa 
@PemkabPadangPrm 
@InfoCilegon 
@pemkotdepok",Positif
@Dwingendrecht Yuk bisa yuk demi anak cucu kita dan masyarakat @DPR_RI,Positif
"@detikcom DPR bilang begitu? Ada banyak hal penting dan besar, koq ngurusin perkara remih temeh?",negatif
@adgardis GUE BERASA KEPILIH JADI ANGGOTA DPR WKWKWKWK AYO ON DIKA INI WISHLIST LU YG SATU LAGI DILAKUIN,negatif
"Secara science, itu adalah bukti empirik! Oleh karenanya, saya sangat menyesalkan putusan IDI tersebut, apalagi sampai memvonis tidak diizinkan melakukan praktek untuk melayani pasien,"" ujar Yasonna.
Komisi IX DPR RI akan panggil IDI secepatnya.
https://t.co/Frp4HofM2C https://t.co/7t6CNf0kwo",Positif
"@satriohendri @tvOneNews New Fir'@un. Bila MPR dan DPR benar2 mewakili rakyat tidak mungkin ada amandemen UUD dan menyetujui RUU.
Jln terakhir menyelamatkan negara adalah People Power dan/atau Revolusi.
Kegagalan reformasi ditangan penguasa yg TDK tepat.",negatif
"punten tulung banget, kalo line up hitc jkt ga ada keshi sama DPR.. aku mundur nabung buat ketemu bebeb yg lain, trims.",negatif
@thegreatcr7x @Otniel_Gaol @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Intinya salah data ya pantes ditolak,Positif
"@Otniel_Gaol @AmbisUCL @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI FYI, immunotherapy pake dendritic cell juga masih riset, bukan standar baku terapi kanker.",negatif
@YRadianto @DPR_RI Gordennya terbuat dari apa ya,negatif
"@Otniel_Gaol @AmbisUCL @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Di berita itu, data uji pra klinis hanya mengambil dari data2 sel dendritik yang sebelumnya digunakan untuk immunotherapy pada kanker. Tetep aja data uji pra klinis spesifik mengenai dendritic vaccine AIVITA tidak ada dan memang tidak mau melakukan. https://t.co/LBqu4SDD5m",negatif
@Mi9aWempy Dan para anggota DPR yang terhormat lagi sibuk membahas gorden baru dengan anggaran yg fantastis ...,negatif
"pertamax naik,nggo nomboki tuku gorden DPR?iki mung takok",negatif
"Baca berita pertamax naik sampe 16rb/liter, dan DPR setuju kalo pertamina mau naikin harga pertamax karena minyak dunia juga naik, makin lucu negri ini, rakyak di paksa bayar pajak, pajak di buat gaji pejabat, pejabat dapet tunjangan beli pertamax, rakyat?",negatif
@detikcom Gak laku. Kalau PDIP ngotot mengusung Puan sebagai Capres maupun Cawapres siap''nyungsep PDIP. Masalahnya ada petugas partai yang elektabilitasnya lebih tinggi. Puan Maharani tau apa tentang pemerintahan. Dia jadi ketua DPR karena kebetulan partainya menang pemilu 2019.,negatif
"@YRadianto @PadmavatiPrati1 @DPR_RI Gordennya multifungsi kali Ki, bisa skalian dipake buat nutup aib mereka yg jumlahx ratusan org😅🤣",negatif
"Sentil Pemerintah, DPR Tagih Vaksin Booster Halal https://t.co/5n84k2ds0r",Positif
@hiRafffff @jefrinichol @keanupahIevi Bhahaha besok kita ribut aja ngab di depan gedung DPR wqwq.,negatif
@dpr_yian Tempat tidurnya cuma satu? Itu namanya siapa hyun?,negatif
"@RamliRizal Tai emang tai.....naik nya jauh banget sampe 16k kurang lebih, gua pake Pertamax biar bisa ngalah sama pertalite, sekarang malah Pertamax yg mau di naikin jauh lagi sampe 16k, tai DPR negri wakanda.",negatif
@MentalShin91 Wkwk oh iya bener juga,negatif
"@AmbisUCL @thegreatcr7x @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI https://t.co/ZCtZIpe6S5

Semua itu sudah pernah di bahas di forum. Emng IDI n BPOM tebang pilih. Gini ya Dr Terawan itu kan pinter ya. Ya masa begituan gak ngerti beliau.",negatif
@dpr_yian Dia ga kebagian tempat tidur hahaha,negatif
"@NenkMonica Mana nih Aparat Hukum?  Sudah terang benderang melanggar Konstitusi 😡🔨😡
@ReflyHZ 
@rockygerung_rg 
@DPR_RI",negatif
"@SmithAprilia Bukti satu lagi, pejabat DPR dua kali berhasil dengan sentuhan beliau https://t.co/NLUi69W1Ku @Kadir_Karding",negatif
Muka Han ngajak gelut banget ya https://t.co/5b9plvW9v5,negatif
@dpr_yian Itu foto dua tahun lalu hyung hahahaha,negatif
@MaryonoNcet @MaulanaPrayitno @tempodotco Apa pernah di bahas di DPR atau di usulkan oleh pemerintah bro.... Tolong data riil ya bro.. Kalau sekedar isu jangan di bahas bro...,negatif
@BlueJeans_Hitam @Febree17_ Rumdin anggota dpr yg dikalibata kecil cuma type RSSS makanya anggota pngen banget ngerasain gorden harga sultan.,negatif
@MentalShin91 Fresh banget mukanya yang lagi wamil,negatif
"Minim Vaksin Halal Covid-19, Anggota DPR Minta Kemlu Bicara Ditingkat Produsen Internasional.
 https://t.co/hnUdAOdclJ lewat @aktualofficial",Positif
@hongsuzui Mau mode jamet dong yang https://t.co/3V4Em368wC,negatif
Ibu DPR senang sekali mendapat pelayanan bare minimum 🙃,negatif
"Dengan direalisasikannya dana operasional ini, sebagai Waketum Partai NasDem, Ahmad Ali menyampaikan rasa terima kasihnya kepada Presiden Jokowi, Menteri Desa PDTT, serta Fraksi Partai NasDem di DPR yang konsisten menyerukan kebutuhan dana operasional bagi para kades ini.",Positif
"Sedari awal NasDem telah menegaskan dukungan politiknya, baik kepada Menteri Desa maupun Presiden, agar alokasi dana operasional ini direalisasikan. Hal ini terlihat sejak sejumlah perwakilan kepala desa menyampaikan aspirasinya kepada Fraksi NasDem di DPR, Januari silam.",Positif
"Jokowi : Semua pihak harus taat pada konstitusi yg sdh jelas mengatur soal masa jabatan presiden
Catat, 
"" Semua Pihak ""termasuk DPR, Pejabat , lembaga survei yg bisa saja mengatur ulang konstitusi dgn caranya masing². 
Kalau saya g percaya apa kata Jokowi https://t.co/1uUcUKn4d9",negatif
"@hybexleo @dpr_yian So sweet banget si ayank, pengen nya ups and down di kasur si gu tapi mentok nya up and down dalam hubungan aja, kita jarang berantem tapi sekalinya berantem bisa-bisa perang dingin🙂",negatif
Ketua FPKS DPR RI: Legislator PKS Makin Menyatu dengan Masyarakat | https://t.co/gsh7fQ0lhI. https://t.co/AwV2JMHxhk,Positif
@Otniel_Gaol @thegreatcr7x @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Mana bukti beritanya?,negatif
"@Sunset___17 Nah ini benar kegedung dpr 
👍 kalau yg dpusat harusnya y ke gedung MPR DPR",negatif
"Agung Budi Santoso Minta Setjen DPR RI Kaji Ulang Penggantian Gorden Senilai Rp48,7 Miliar https://t.co/0idjwVML9l",Positif
Ketua FPKS DPR: Legislator PKS Harus Menyatu dengan Rakyat https://t.co/qeGpLTtcfW.,Positif
"570 anggota… DPR 
Sekian banyak Bupati yg habiskan miliaran rupiah…",negatif
@thegreatcr7x @AmbisUCL @hidelove12 @caklazt @fungsionaris @Heraloebss @DPR_RI @jokowi @PBIDI Di Amerika udh uji pra klinis,negatif
"@geloraco Tolol tuh DPR dipilih karena uangnya atau ketololannya,,,😜😛😂😂😂🤷🤦🤦🤦",negatif
@marlina_idha Yg gorden sih memang dpr parah…makanya Semoga psi bisa masuk dpr hihi,negatif
"Tinggal di @DPR_RI aja lagi bola utk mengamandemen undang2 masa berlaku jabatan presiden, tapi nda adil dong, klo masa jabatan dan hak utk maju lebih dari 2x hanya utk presiden, bup,walkot,gub pun harus sama, kalau ada perpanjangan yah gub maupun bupati/walkot diperpanjang jg",negatif
@dpr_yian Gabisa kah ngebucinin yang aesthetic dikit?🥰,negatif
Klo DPR isi nya manusia normal dan punya hati pasti pada mikir sih harusnya. Gua curiga DPR Isi nya nya afiliator juga😅,negatif
Lah kok main setuju2 aja. Gimana kalau dibalik? Masyarakat setujui tunjangan DPR dipotong 99%,negatif
"Targetkan 34 Kursi DPR RI, Ketum PKP Minta Kader Jangan Minder https://t.co/y4rNx7dZAc",Positif
@geloraco liatin aj ap berani dpr'a😂😂😂,negatif
"@marlina_idha Dulu DPR selalu menolak apabila ada kenaikan baik kenaikan BBM,TOL dan sembako eh sekarang jadi sebaliknya apa karena semua sarananya di tanggung  kali ya jadi setuju semua tampa memikirkan rakyat yg selalu jadi yg tertindas",negatif
@NataliusPigai2 DPR tidak berfungsi….!!!!,negatif
"@20detik Sementara pandemi covid rakyat susah cari uang untuk makan...
Bapak malah memanjakan anggota DPR yg kaya raya.
Silahkan aja Pak, teruskan...! semoga di ampuni dosa dosa semasa hidupnya.

( pintar cari peluang )",negatif
"@LurahKW @dipoalam49 Jangan skeptis dan pesimis, kita doakan saja para anggota DPR yg terhormat itu benar2 menjadi wakil rakyat yg patut dihormati karena integritasnya.
Salam Sehat dan Salam Sukses",negatif
Ini Sebab Kahar Muzakir Batal Dilantik Jadi Ketua Komisi XI DPR https://t.co/in1Pk5WerD,Positif
"@Didosennahadi1 @KompasTV Mukidi lupa diri, ngeselin liat muka nya, ngak sadar rakyat sudah menderita dibuat nya dan para koloni koloni nya di istana dan dpr sana. Entah yg mau mendukung 3 periode itu ada apa tidak otak nya, saya rasa otak merka itu adalah gas taik dari lambung nya yg bicor karena lapar.",negatif
"Hadiri Silaturahmi Apdesi dengan Jokowi, Pigai: DPR Harus Panggil Luhut, Tanya Tupoksinya Apa https://t.co/WtbrsCBxNB",negatif
@AnantaKusumo @YRadianto @DPR_RI Lumayan,Positif
Kalo DPR menyetujui ya berarti benar memang keinginan rakyat.. 🤭,negatif
DPR = Damage Per Rasengan https://t.co/Iw7uLuWBTg,negatif
"kadang kita udah terbiasa dengan ""zona nyaman"" (padahal belum nyaman beneran)",negatif
"@AOSBaduy008 @musniumar @ProfylHenuk Dengan kata lain. Lo emang bukan prof di negri ini hehheehh...
Hanya kaum tertentu yg mengerti dan bisa menerima kenyataan ini...
@DPR_RI @mprgoid",negatif
Anggota DPR: Syarat Vaksin Booster untuk Mudik Tidak Adil https://t.co/6vjwdrWUy3,Positif
"Sentil Pemerintah, DPR Tagih Vaksin Booster Halal https://t.co/M5zTERw8km",Positif
Gak heran. Mas wiwib pernah cerita ini. Ini anggota dpr mpr siapapun yg terima aja dapet vaksin nusantara tidak lain karna pernah dapet kebaikan terawan. Jadi kya “gak enak kalo nolak” 🙃,negatif
"@PartaiSocmed DPR dan DPD gimana ?,",negatif
DPR dan semua Institusi ada diketek Luhut....,negatif
"@Ghurem2 Pateen...
MUI sarang kadrun sdh dikebiri, skrg giliran IDI yg jg adlh sarang kadrun jg akan dikebiri..

Jd makin paham ya, jika suatu organisasi (apapun), jika pengurusnya sdh terpapar virus kadrun, organisasi tsb jd rusak &amp; penuh kebusukan.
@DPR_RI @KemenkesRI @cokro_tv @psi_id https://t.co/9sdPM2tQO2",negatif
NJIIINGGG MAHAL BANGEEEETTTTT. NMAX BOROSSS ANJEEENGGG DAH GILA KALI NI DPR GILAAAA,negatif
@liputan6dotcom @DPR_RI Hidup anda ngaco semua. Duit aja yg kalian kejar kesejahteraan rakyat kagak. Bubar aja dah dpr ngapain diadain juga ga guna malah ngebenanin rakyat. UMR naikin tuh biar rakyatnya sejahtera. Petani juga sejahterain masa pas sayuran mahal disidak pas pupuk mahal pada diem,negatif
"Gaji naik ga seberapa;

Tapi…
Minyak Goreng
Bensin

Bsk Apalagi haaaah???

Ga sehat ih bener2 deh

Giliran DPR ganti gorden aja pilihan juta. Dhuafa banyak Gaya. Ceritanya wakil rakyat, apaan yg terwakili 😂😂😂norak",negatif
@detikcom Bubarkan DPR..,negatif
"Anggota DPR ragu banyak masyarakat yang ingin berpartisipasi mengumpulkan dana untuk proyek Ibu Kota Negara (IKN)

https://t.co/qlaYCSua62",Positif
ada yg tau ga si hitc jakarta kapan? mau liat brian niki warren sama dpr,negatif
@DPR_Jalanan Wkwkwkwkwkw..,negatif
@Eternityarchon ayato as dpr 😔💔💔,Positif
"ava dpr ian, mark lee, lee jeno red flag smw",Positif
@newjukyumoon gue beneran ngiranya april mop loh.. ntar tau2 ada revisi atau penolakan DPR pas tgl 2,negatif
"@idextratime Loh kok gak dikasih DPR, eh Mesir jatahnya?",negatif
"Gila si tahun ini, minyak goreng naik, minyak motor pun naik, gaji gk dinaikin.  DPR enk tingal mutusin naikin harga:')",negatif
"Istana seakan Mendukung, tpi om didu lupa klu agenda Pemilu sdh ditetapkan oleh DPR dan Pemerintah 14 Februari 2024, masa yg bgini masih digoreng juga. Eh lupa, jgan2 om didu keciprtan Tumpukan migor 16rb Liter itu?? mknya ska ngegoreng",negatif
"which masyarakat? kayaknya 'masyarakat' pemerintahan, atau 'masyarakat' menteri atau dpr deh.",Positif
"Komisi III DPR RI rapat kerja bersama KPK RI. Dalam rapat itu, Ketua KPK Firli Bahuri sempat berbicara terkait rencana KPK mengawal pembangunan IKN Nusantara. https://t.co/umNyrwPfJk",Positif
@ahkam2634 @MurazzaA Ibu ketua DPR bisakah menerangkan apa maksudnya?.,negatif
@berlianidris Tapi pak.. DPR sudah setuju.. DPR kan wakil rakyat.. yang milih juga rakyat sendiri.. berarti secara tidak langsung rakyat juga setuju kenaikan pertamax.. 🤭🤭,negatif
"DPR Setujui Harga Pertamax Naik, Rizal Ramli Sindir Ahok: Audit Dulu Dong Pertamina! https://t.co/JpfXdAw6Vc",negatif
"@berlianidris DPR ibarat menumpahkan bahan bakar didepan pendemo anti penundaan pemilu dan 3 periode biar demonya makib masif…., Pak Jokowi yg bakal kena getahnya. Oalah politik…. Nggak jelas mana kawan mana lawan, mana iblis mana malaikat.",negatif
@moonhild_ @convomf kalo aku sama dpr ian gapapa? 😴,negatif
"Sekarang terserah ELIT,
Partai politik, @DPR_RI ..
@DPDRI
Amandemen tanpa Sandra 
Presiden 
demi kepentingan kelompok.
Atau Tidak sama sekali.

Konsisten?",negatif
DPR kan dewan perwakilan rakyat ya? Kira-kira suara rakyat manakah yang diwakilkan sehingga menyetujui kenaikan harga bbm?☺ https://t.co/iQh7osKcnt,negatif
@blckcappuccino yang tahun kelahiran ..... lagi merasakan pahitnya kehidupan. enggak bro dia anak dpr,negatif
Dpr ini representative rakyat atau bukan sih wkwkwkw,negatif
"Polemik hilangnya ‘madrasah’ di RUU Sisdiknas, Komisi X DPR: kita pernah ingatkan pemerintah!

https://t.co/imDPucShGn

#ruusisdiknas #sisdiknas #dprri #kemendikbudristek #Lensaindonesiacom",Positif
@detikcom Tidak .. dan Jangan lah... mau makan apa nanti petugas di samsat sana...??? Kasian lah... masa DPR saja yang mau makan  dan mau KAIN GORDENG  untuk rumah dinas nya...  bapak bapak di samsat  sana juga mau seperti  anggota  DPR itu..,negatif
"@RamliRizal Mancing² aja @BennyHarmanID itu Pak Rizal!
Dia yg punya hak macam² di dpr itu, beraninya cuma koar² di medsos doang! 11 12 ama partainya. Banci! 😁",negatif
"@geloraco Bila motif menjilat mengemuka, ratusan dalih pembenar disampaikan. Tak peduli hrs injak"" konstitusi, pelintir aturan hukum &amp; UU. Upaya bahlul ungkap modus operandi gerombolan mayoritas poli_tikus busuk Senayan @mprgoid @DPR_RI u/memperkaya diri &amp; berkoar"" demi kepentingan rakyat.",negatif
Kan iso amandemen uud 1945  lewat mpr/dpr tuk memperpanjang masa jabatan presiden atau ditambah jadi 3 periode tuk pemilihan langsung presiden jika rakyat indonesia yang menghendaki. Merdeka,negatif
"Sekretariat Jenderal DPR RI melakukan sosialisasi Program Magang dan Studi Independen Bersertifikat (MSIB) yaitu ""Magang di Rumah Rakyat DPR RI Tahun 2022"" di Universitas Udayana, Bali, Selasa, 29 Maret 2022. 
via @DPR_RI 
https://t.co/Rj22QnidP4",Positif
kalau stress bawaannya pingin dengerin dpr mulu https://t.co/Mwezedfk72,negatif
@octyapc Lebih horor dari hordeng DPR,negatif
"subsidi di tarik gaji anggota DPR naik, wakil kan seharus lebih susah dari rakyat",negatif
"Rep nya debat kyk DPR 

SAMA SAMA GK PENTING",negatif
"DPR setujui kenaikan harga BBM, Netizen: Kok Puan Maharani Gak Nangis seperti jaman SBY?
#pertamax
#bbmnaik
#hargabbm
#DPR
#puanmaharani

https://t.co/9zDsyZxpdF",negatif
"ISI DPR MPR ITU HARUS NYA DI GANTI. DENGAN PENERUS BANGSA YG MEMILIKI SUARA KRITIS YG TIDAK MEMBEBEK. 
SEBAB NAMA NYA PERWAKILAN RAKYAT HARUS MENJALAN KAN ASPIRASI BUKAN BASA BASI. 

TUTUP HORDENG DULU AHHH  😂😂😂",negatif
